time,bpm
20:41:00,6.8
20:41:30,8.4
20:42:00,18.6
20:42:30,6.8
20:43:00,7.2
20:43:30,6.8
20:44:00,6.4
20:44:30,6.6
20:45:00,11.9
20:45:30,6.7
20:46:00,11.1
20:46:30,6.2
20:47:00,6.2
20:47:30,6.0
20:48:00,6.6
20:48:30,6.1
20:49:00,6.0
20:49:30,6.0
20:50:00,6.4
20:50:30,5.4
20:51:00,7.1
20:51:30,9.3
20:52:00,8.0
20:52:30,9.0
20:53:00,9.1
20:53:30,9.4
20:54:00,8.7
20:54:30,9.0
20:55:00,10.2
20:55:30,6.8
20:56:00,13.4
20:56:30,11.1
20:57:00,12.7
20:57:30,11.5
20:58:00,11.8
20:58:30,12.0
20:59:00,11.8
20:59:30,6.8
21:00:00,5.9
21:00:30,10.5
21:01:00,13.6
21:01:30,9.1
21:02:00,7.1
21:02:30,7.5
21:03:00,7.5
21:03:30,7.2
21:04:00,7.5
21:04:30,7.3
21:05:00,6.3
21:05:30,7.4
21:06:00,6.0
21:06:30,13.6
21:07:00,6.4
21:07:30,14.6
21:08:00,15.1
21:08:30,14.9
21:09:00,15.2
21:09:30,14.6
21:10:00,8.2
21:10:30,6.7
21:11:00,7.2
21:11:30,6.9
21:12:00,29.8
21:12:30,6.6
21:13:00,7.6
21:13:30,6.4
21:14:00,25.5
21:14:30,12.1
21:15:00,7.4
21:15:30,6.8
21:16:00,6.5
21:16:30,11.7
21:17:00,6.2
21:17:30,6.4
21:18:00,8.8
21:18:30,9.0
21:19:00,11.9
21:19:30,6.4
21:20:00,14.7
21:20:30,14.0
21:21:00,6.3
21:21:30,4.2
21:22:00,6.9
21:22:30,7.3
21:23:00,5.1
21:23:30,7.1
21:24:00,9.6
21:24:30,6.6
21:25:00,7.2
21:25:30,7.1
21:26:00,7.6
21:26:30,6.6
21:27:00,7.3
21:27:30,7.2
21:28:00,8.9
21:28:30,8.8
21:29:00,6.6
21:29:30,6.8
21:30:00,8.4
21:30:30,7.0
21:31:00,7.3
21:31:30,7.0
21:32:00,15.2
